Date,Open,High,Low,Close,Adjusted_close,Volume
2022-02-26,1.5526896948438,1.5782307606701,1.5170606454146,1.5178694418879,1.5178694418879,674346417
2022-02-27,1.5213859927657,1.5429931676812,1.4381868432843,1.4545567369174,1.4545567369174,474589172
2022-02-28,1.4535664421648,1.6095730495305,1.4302787179008,1.6095730495305,1.6095730495305,725871112
2022-03-01,1.6176259687245,1.6534838256004,1.5762002628023,1.6221335180832,1.6221335180832,1139255671
2022-03-02,1.6195594168998,1.6927624848776,1.5932851093302,1.6325381635593,1.6325381635593,1110060234
2022-03-03,1.6335456663244,1.6492899648433,1.5666500170772,1.5907890253907,1.5907890253907,806692453
2022-03-04,1.5920027393653,1.5920027393653,1.4571441167317,1.4740254409075,1.4740254409075,613082930
2022-03-05,1.4770511960915,1.5144720328216,1.4508061535997,1.511517463502,1.511517463502,354587563
2022-03-06,1.5104398922201,1.5199768014509,1.4375518250179,1.4381171804631,1.4381171804631,349484860
2022-03-07,1.4348335198791,1.495867206899,1.3758148286039,1.4165716288704,1.4165716288704,814594093
2022-03-08,1.415843320436,1.4654100824915,1.4109239038388,1.443698084769,1.443698084769,731733571
2022-03-09,1.443183229815,1.5404599209575,1.443183229815,1.5074702962913,1.5074702962913,645981669
2022-03-10,1.506553365,1.5094719342,1.4114225947,1.4391968671,1.4391968671,949122528
2022-03-11,1.439096716,1.4696552451,1.4065041041,1.4065041041,1.4065041041,822568507
2022-03-12,1.4065085421,1.4333261458,1.3967560682,1.3994846037,1.3994846037,490928601
2022-03-13,1.3990650283,1.4176303816,1.3587615497,1.3628761731,1.3628761731,443402681
2022-03-14,1.3627355894,1.3914571912,1.3350045013,1.3778993207,1.3778993207,752768010
2022-03-15,1.3778460832,1.4072166078,1.3362367191,1.3801960019,1.3801960019,651542710
2022-03-16,1.3800563615,1.4685092891,1.3577008124,1.4683590373,1.4683590373,889458609
2022-03-17,1.4682333492,1.4951334911,1.4404466323,1.4491114697,1.4491114697,676449034
2022-03-18,1.4486974336,1.5077953211,1.4209599987,1.4995554596,1.4995554596,668540821
